Nom de l'établissement	Adresse	Site Web	Status
Le Spa by Virginie	114 Rue Fontaine 01220 Divonne-les-Bains France	http://www.lespabyvirginie.com/	Traité
KELLUA - Centre de Flottaison & Spa	51 Rue Lafaurie de Monbadon 33000 Bordeaux France	https://kellua.fr/	Traité
Arômes et Bien Etre	Hôtel l'Orée Best Western Rte de Montlhéry 91160 Saulx-les-Chartreux France	https://www.aromes-bien-etre.fr/	Traité
La Maison Luma - Head Spa	6 Bd Charles Nélaton 91460 Marcoussis France	https://lamaisonluma.fr/	Traité
Whakanga SPA	41 Av. du Moulin de la Planche 91120 Palaiseau France	https://whakanga-spa.fr/	Traité
Kréaura Spa – Massage & Spa privatif	14 Rue des Archers 91310 Montlhéry France	http://www.kreauraspa.fr/	Traité
Le Centre Cosmos – Spa privatif & Flottaison à Brétigny 91	17 Chem. des Pâtures 91220 Brétigny-sur-Orge France	https://www.lecentrecosmos.fr/	Traité
Heaven head spa	147 Rue des Buttes Réault 91650 Breuillet France		
Beauté Océane Le Spa	5 ter Rue Haute 10500 La Rothière France	https://www.ideosens.fr/beauteoceane-lespa/	Traité
Aqua For Zen	41 Rue Jacques Prévert 80480 Salouël France	https://aquaforzen.fr/	Traité
Spa Marotte	60 Rue des Jacobins 80000 Amiens France	https://www.hotel-marotte.com/bien-etre/le-spa/	Traité
Spa Cinq Mondes Opéra	6 Sq. de l'Opéra-Louis Jouvet 75009 Paris France	https://www.cinqmondes.com/pages/spa-cinq-mondes-paris	Traité
HYSOPE SPA Paris Rive Gauche	382 Rue de Vaugirard 75015 Paris France	https://www.hysopeparis.com/	Traité
Private Spa & Pool	373 Rue du Bois des Cerisiers 273 60100 Creil France	http://www.privatespa60.com/	Traité
Spa La Vie est Belle	Zac Du Camp Du Roy 269 Av. Jean Moulin 60880 Jaux France	https://www.spa-lavieestbelle.com/	Traité
"Sous les étoiles ""Le Bien-être Privatif"""	40 Av. René Firmin 60410 Verberie France		
b'o spa thermal	Av. des Thermes 61140 Bagnoles de l'Orne Normandie France	https://bo-resort.com/fr/bien-etre/	Traité
Spa Apaizonia	10 Rue du Professeur Louvel 61140 Bagnoles de l'Orne Normandie France	https://apaizonia.fr/	Traité
Le domaine de la dimière	1649 Rte de Saint-Jean 76690 Saint-André-sur-Cailly France	https://www.ledomainedeladimiere.fr/	Traité
Spa Le Lys	95 Rte du Tréport 76260 Eu France	http://www.spalelys.com/	Traité
Les Sens du Hammam	Place des Tilleuls 76190 Allouville-Bellefosse France	http://www.lessensduhammam.fr/	Traité
Maison Harmonie (Spa Harmonie des Sens)	20 Rue de Preize 10000 Troyes France	http://www.harmoniedessens.fr/	Traité
Aquareflex	45 Pl. de l'Église 80600 Longuevillette France	https://widget.treatwell.fr/salon/463763/menu/	Traité
Serenity Spa Dijon	1B Rue Musette 21000 Dijon France	http://serenityspa-dijon.fr/	Traité
Spa Eman&sens	68 Rue de la Liberté 21000 Dijon France	http://www.emanetsens.com/	Traité
Lok Siam Spa	17 Rue Guersant 75017 Paris France	https://www.loksiamspa.com/	Traité
EDEN RELAX	27 Bd Anatole France 93300 Aubervilliers France	http://www.eden-relax.fr/	Traité
Romantique and Spa	154 Av. Charles Boutet 08000 Charleville-Mézières France	https://www.romantiqueandspa.fr/	Traité
PURE N'SPA	86 Rue de Périgueux 16000 Angoulême France	https://www.purenspa.com/	Traité
L'institut des Monédières	D26 19800 Meyrignac-l'Église France		
Spa relaxium	382 Av. Georges Dupont 59120 Loos France		
Le temps d'un spa	1 ter Rue Pasteur 59120 Loos France	http://www.letempsdunspa.com/	Traité
Blue Spa, centre de bien être	101 Rue de l'Abregain 62800 Liévin France	http://www.bluespa-lens-lievin.com/	Traité
Suite & Spa Lille	25 Rue Edouard Delesalle 59800 Lille France	http://www.suiteandspa-lille.fr/	Traité
Cas? Suite & Spa - Spa privatif à Lille - La Neuville	Bâtiment Henri IV 30 Rue du Général de Gaulle 59239 La Neuville France	http://www.casasuiteetspa.fr/	Traité
Spa des îles	POP'A Lens 2 Rue de la bassé 62880 Vendin-le-Vieil France	https://www.planity.com/spa-des-iles-lens-62300-vendin-le-vieil	Traité
AMBISPA	15 bis Rue du Général de Gaulle 59242 Cappelle-en-Pévèle France	https://www.ambispa.fr/	Traité
Bonica Spa	116 Rue Casimir Beugnet 116 T 62430 Sallaumines France	https://bonicaspa.fr/	Traité
Riva Bella Thalasso & Spa	Rte de Riva Bella 20230 Linguizzetta France	http://www.rivabella-spa.com/fr/	Traité
Spa Serena - Calvi	Rte de Pietra Maggiore 20260 Calvi France	https://www.hotelcorsica.fr/spa-bien-etre	Traité
SPA DAMONA	Kerlavar 29720 Plonéour-Lanvern France	https://www.spadamona.com/	Traité
Spa l'Escale Bien-être | Spa Benodet | Spa Bretagne	Cor de la Mer 29950 Bénodet France	https://www.planity.com/spa-escale-bien-etre-camping-sandaya-escale-saint-gilles-29950-benodet	Traité
Spa du bout du monde	11 Rue d'Ys 29160 Crozon France	http://www.spaduboutdumonde.com/	Traité
Lounge et Spa	805 Rte de Sully 45460 Bray-Saint-Aignan France	http://loungeandspa.fr/	Traité
